rollnumber,firstname,last name,gender,father name,location ,mobile number,Email,experience,graduation,% of marks,ssc marks,intermarks,entrance exam,entrance score,entrance score %,specialization,attendence,cgpa,DOB,address
131115,David,M,male,Tara,ANDHRA,9000716494,Waino@icie.org,3,B.Com,71,530,865,CAT,510,74,FINNCE,60,5,8/23/1991,8715 S Travis St
131116,Lyle,N,male ,Lynn,TELANGANA,9000716495,Linnea.Cummings@chanelle.biz,5,B.Tech.,78,568,943,ATMA,572,94,OPERATIONS,35,5,9/26/1990,9646 N Loop Fwy
131117,Kamal,O,female,Alana,UP,9000716496,Justine@tanner.info,0,B.Com,69,386,996,MAT,491,85,ANALYTICS,15,3,12/4/1990,5600 Mc Kay St
131118,Ian,P,male,Sonia,GUJARAT,9000716497,Cristopher@mariela.me,2,B.Com,70,469,864,CAT,478,78,MARKETING,59,5,9/20/1991,182 East Rd
131119,Brenden,Q,male ,Tanya,ORISA,9000716498,Herman_Gleichner@camila.org,5,B.Tech.,64,532,707,ATMA,500,88,HR,18,4,7/18/1989,824 13th St
131120,Dillon,R,female,Idona,BANGLORE,9000716499,Laura@michele.info,5,B.Tech.,50,405,952,MAT,562,88,FINNCE,25,3,4/7/1990,4400 Shelbyville St
131121,Rafael,S,male,Deirdre,BIHAR,9000716500,Alexis@angelica.biz,4,B.Tech.,74,594,749,CAT,556,96,OPERATIONS,72,3,10/28/1990,733 143
131123,Tucker,T,male ,Naomi,DELHI,9000716501,Alicia_Pouros@meta.net,2,B.Com,61,434,766,ATMA,491,75,ANALYTICS,74,5,5/15/1990,7590 State Hwy 123 Bus
131124,Jacob,U,female,Deirdre,TAMILNADU,9000716502,Destini@sim.tv,3,B.E.,58,331,946,MAT,404,71,MARKETING,51,3,7/18/1989,9120 N Zapata Hwy
131125,Jared,V,male,Regina,KERALA,9000716503,Erik@jayda.org,1,B.Com,52,381,935,CAT,526,75,HR,28,5,4/7/1989,30 Juniper St
131126,Matthew,W,male ,Nomlanga,ASSAM,9000716504,Braxton@selena.info,0,B.Tech.,64,466,933,ATMA,559,84,FINNCE,69,4,10/4/1990,22058 Chandler Rd
131127,Hall,X,female,Zelda,JAIPUR,9000716505,Enola.Considine@nicolas.me,3,B.Com,63,442,972,MAT,485,92,OPERATIONS,42,5,12/11/1989,59 N Parmele St
131128,Giacomo,Y,male,Ursa,ANDHRA,9000716506,Ilene@caitlyn.biz,4,B.Tech.,76,585,789,CAT,484,63,ANALYTICS,15,5,2/7/1989,782 Oyster Creek Dr
131130,Carl,Z,male ,Kiayada,TELANGANA,9000716507,Luz_Kulas@domenick.us,4,BHMCT,82,439,975,ATMA,474,83,MARKETING,84,5,4/23/1990,767 SW 1st St
131131,Dieter,A,female,Nicole,UP,9000716508,Polly_Wisozk@martin.info,3,B.Sc.,86,482,738,MAT,532,86,HR,55,3,1/20/1989,9453 S Storts St
131132,Peter,B,male,Xaviera,GUJARAT,9000716509,Dana.Rau@dewayne.org,4,B.Tech.,85,584,747,CAT,593,74,FINNCE,39,5,10/14/1991,90162 N Rice St
131133,Jasper,C,male ,Zelenia,ORISA,9000716510,Karina@jadyn.info,2,B.Tech.,87,359,736,ATMA,460,98,OPERATIONS,80,4,8/12/1990,99 SE 8th St
131134,Hiram,D,female,Phoebe,BANGLORE,9000716511,Carlos.West@maudie.ca,1,B.Tech.,78,413,991,MAT,401,73,ANALYTICS,45,3,7/29/1991,610 Farm Rd 784
131135,Felix,E,male,Shay,BIHAR,9000716512,Jannie.Larkin@eula.biz,1,B.Tech.,62,553,998,CAT,441,65,MARKETING,33,5,7/20/1991,87 Bailey Ave
131136,Erasmus,F,male ,Shaeleigh,DELHI,9000716513,Nickolas.Jaskolski@annabelle.io,2,B.Com,90,310,787,ATMA,434,64,HR,73,4,2/1/1991,6098 State Hwy 34
131137,Lewis,G,female,Idona,TAMILNADU,9000716514,Verda_Medhurst@edyth.name,5,B.Sc.,59,337,854,MAT,409,83,FINNCE,91,4,2/8/1990,72145 S Greer Blvd
131138,Dean,H,male,Neve,KERALA,9000716515,Tess.Littel@aaron.biz,2,B.Tech.,87,518,981,CAT,411,60,OPERATIONS,51,5,9/21/1989,12985 Probandt St
131141,Ira,I,male ,Ciara,ASSAM,9000716516,Gardner@franco.me,5,B.Sc.,70,335,883,ATMA,418,79,ANALYTICS,95,3,11/19/1991,933 S Columbia Dr
131143,Brandon,J,female,Laurel,JAIPUR,9000716517,Jordyn.Koss@gregorio.me,5,B.Pharm,50,492,862,MAT,467,66,MARKETING,50,3,7/28/1989,90 96 N
131145,Hop,K,male,Ignacia,ANDHRA,9000716518,Anya@raven.net,1,B.Com,78,401,766,CAT,422,65,HR,27,4,3/27/1990,12566 W Mansfield Hwy
131146,Derek,L,male ,Aphrodite,TELANGANA,9000716519,Lysanne@nedra.co.uk,0,B.Tech.,58,524,873,ATMA,528,92,FINNCE,48,3,5/22/1990,6856 Glen Rose Rd
131147,Vladimir,M,female,Gay,UP,9000716520,Ocie_Reichert@cory.name,0,B.Sc.,65,423,817,MAT,523,95,OPERATIONS,96,4,1/25/1989,90745 E Gravis Ave
131148,Keegan,N,male,Ruth,GUJARAT,9000716521,Kailyn@emmy.biz,0,B.B.A.,78,332,755,CAT,541,98,ANALYTICS,30,3,1/19/1989,39907 N Hwy 360
131153,Alan,O,male ,Indira,ORISA,9000716522,Loy@damaris.tv,3,B.Tech.,59,558,816,ATMA,509,88,MARKETING,76,3,5/22/1989,3548 State Hwy 204
131154,Dylan,P,female,Rinah,BANGLORE,9000716523,Kane_Schmidt@baby.co.uk,2,B.Tech.,71,301,830,MAT,516,79,HR,82,5,4/3/1990,8480 W Goliad Ave
131203,Thomas,Q,male,Eve,BIHAR,9000716524,Telly_Rodriguez@sedrick.info,2,B.Tech.,81,430,870,CAT,510,85,FINNCE,96,5,3/2/1991,8966 Ranch Rd 55
131204,Kibo,R,male ,Nicole,DELHI,9000716525,Zion@kailee.biz,3,B.Tech.,61,415,932,ATMA,474,95,OPERATIONS,78,4,12/16/1990,578 S Green St
131205,Jacob,S,female,Freya,TAMILNADU,9000716526,Joyce.Ankunding@eliza.com,1,B.Tech.,71,541,750,MAT,431,70,ANALYTICS,31,3,5/29/1991,91 N Broadway
131206,David,T,male,Cara,KERALA,9000716527,Karli@audrey.me,4,B.B.M.,50,539,780,CAT,523,67,MARKETING,15,3,10/17/1989,24200 State Hwy 78G Bus
131207,Uriel,U,male ,Rana,ASSAM,9000716528,Erick.Jakubowski@dennis.io,3,B.Tech.,88,475,962,ATMA,504,61,HR,27,3,12/16/1990,98 State Spur 84
131208,Rigel,V,female,Anika,JAIPUR,9000716529,Jeramie.Hackett@delphia.biz,3,B.B.A.,65,565,838,MAT,494,93,FINNCE,97,3,9/10/1990,644 Lake St
131209,Colton,W,male,Avye,ANDHRA,9000716530,Alfonzo@timmothy.org,1,B.B.A.,55,368,896,CAT,578,87,OPERATIONS,63,4,9/5/1989,43 State Loop 171
131210,Valentine,X,male ,Robin,TELANGANA,9000716531,Xzavier@kaitlyn.ca,3,B.Tech.,55,445,735,ATMA,434,74,ANALYTICS,63,5,3/4/1990,3830 I- 35W
131212,Daquan,Y,female,Astra,UP,9000716532,Bianka@howard.biz,1,B.Tech.,55,540,709,MAT,415,97,MARKETING,54,4,2/14/1990,3174 Poly North Fwy
131213,Channing,Z,male,Freya,GUJARAT,9000716533,Bernadine.Nicolas@cheyenne.info,1,B.A.,88,331,771,CAT,454,88,HR,69,3,6/21/1990,29292 Loop 332
131214,Cruz,A,male ,Sacha,ORISA,9000716534,Josiah.Harvey@marcella.tv,5,B.Sc.,77,564,994,ATMA,600,71,FINNCE,44,4,5/26/1989,30430 N US Hwy 277
131215,Tate,B,female,Madonna,BANGLORE,9000716535,Walker@lucio.name,2,B.E.,57,555,747,MAT,543,63,OPERATIONS,21,5,6/25/1989,3964 FM 170
131217,Abbot,C,male,Noelle,BIHAR,9000716536,Stone_Hudson@emory.biz,2,B.E.,73,484,890,CAT,592,73,ANALYTICS,87,5,10/10/1989,30 W Bandera Rd
131220,Benedict,D,male ,Kay,DELHI,9000716537,Aida_Hane@magdalena.co.uk,0,B.Com,69,590,859,ATMA,412,96,MARKETING,99,5,4/10/1989,17789 E Hwy 85
131221,Thaddeus,E,female,Pearl,TAMILNADU,9000716538,Emmanuelle@kadin.name,1,B.Sc.,76,332,702,MAT,427,81,HR,90,4,10/20/1991,612 N Perry St
131222,Xavier,F,male,Genevieve,KERALA,9000716539,Waino@verlie.tv,4,B.Tech.,56,506,898,CAT,519,87,FINNCE,27,3,3/30/1991,310 US Hwy 70
131223,Brock,G,male ,Madonna,ASSAM,9000716540,Melissa@jordan.biz,0,B.Tech.,62,533,820,ATMA,539,66,OPERATIONS,48,3,10/25/1990,63 Hwy 6 Byp
131225,Trevor,H,female,Eden,JAIPUR,9000716541,Godfrey@maeve.biz,5,B.Tech.,56,423,817,MAT,572,80,ANALYTICS,47,4,7/12/1989,77 S Graham Ave
131226,Nathan,I,male,Anne,ANDHRA,9000716542,Kiarra@shanon.tv,5,B.Tech.,72,447,770,CAT,466,93,MARKETING,21,5,11/12/1989,256 E Navarro St
131227,Keefe,J,male ,Rana,TELANGANA,9000716543,Flavio.Bechtelar@kiera.org,1,B.Tech.,86,346,859,ATMA,547,80,HR,84,3,2/14/1989,70059 State Hwy 71 W
131228,Darius,K,female,Calista,UP,9000716544,Ben@jannie.info,5,B.Com,53,359,958,MAT,496,90,FINNCE,80,4,1/26/1989,15 E Blackjack St
131229,David,L,male,Yoko,GUJARAT,9000716545,Arnaldo@abbie.name,0,B.Tech.,85,462,771,CAT,510,97,OPERATIONS,29,5,7/21/1991,51 Arp Dr
131230,Rafael,M,male ,Summer,ORISA,9000716546,Art.Schiller@angel.net,5,B.Pharm,66,538,873,ATMA,478,62,ANALYTICS,18,4,8/15/1991,7024 Old Fechner
131231,Zeph,N,female,Karen,BANGLORE,9000716547,Samantha.Kiehn@cesar.biz,1,B.Sc.,65,505,921,MAT,560,96,MARKETING,78,3,12/18/1989,97571 S Nueces St
131232,Jermaine,O,male,Giselle,BIHAR,9000716548,Jewel@althea.tv,3,B.Tech.,65,465,808,CAT,434,94,HR,40,4,12/13/1989,602 W Loop Fwy
131234,Maxwell,P,male ,Reagan,DELHI,9000716549,Paula@frank.tv,2,B.Com,86,434,856,ATMA,470,86,FINNCE,89,5,10/19/1990,2613 59-Hov
131235,Thane,Q,female,Naida,TAMILNADU,9000716550,Brant@maximillia.ca,3,B.Tech.,60,442,729,MAT,497,81,OPERATIONS,24,4,11/3/1990,764 S Bridge St
131237,Devin,R,male,Jordan,KERALA,9000716551,Ayden.Walter@ruthe.biz,4,B.B.A.,53,330,910,CAT,417,86,ANALYTICS,91,3,8/27/1990,131 Chandler Rd
131238,Damian,S,male ,Medge,ASSAM,9000716552,Lambert.Stamm@izaiah.biz,1,B.Sc.,73,453,705,ATMA,538,60,MARKETING,96,5,3/19/1990,3968 Frisco St
131239,Amery,T,female,Celeste,JAIPUR,9000716553,Jaquelin@nina.io,1,B.Pharm,51,311,839,MAT,561,70,HR,99,5,4/6/1991,29226 N Williams St
131242,Porter,U,male,Melissa,ANDHRA,9000716554,Kasandra@marlon.io,1,B.E.,78,323,867,CAT,458,67,FINNCE,85,5,9/3/1990,13978 State Loop 398
131243,Brady,V,male ,Madeline,TELANGANA,9000716555,Piper.Dicki@blanca.co.uk,0,B.E.,69,488,744,ATMA,461,82,OPERATIONS,53,5,12/5/1989,510 State Hwy 305
131244,Denton,W,female,Jena,UP,9000716556,Herbert_Romaguera@eldred.org,5,B.Com,89,499,953,MAT,449,89,ANALYTICS,17,3,10/5/1990,33054 NW H K Dodgen Loop
131245,Yasir,X,male,Lee,GUJARAT,9000716557,Norris@jamaal.io,0,B.Tech.,79,484,992,CAT,572,68,MARKETING,29,5,6/1/1990,180 State Hwy 61
131247,Lucas,Y,male ,Cora,ORISA,9000716558,Delfina@rashad.io,2,B.Com,75,505,880,ATMA,558,80,HR,90,3,9/21/1991,24 US Hwy 69D Bus
131248,Geoffrey,Z,female,Scarlett,BANGLORE,9000716559,Cierra@jean.biz,1,B.Sc.,70,449,767,MAT,533,68,FINNCE,46,3,5/18/1989,111 Larado St
131249,Hop,A,male,Phyllis,BIHAR,9000716560,Milo@erich.us,5,B.Tech.,57,330,721,CAT,434,84,OPERATIONS,96,3,3/2/1989,32218 W Tom Landry St
131250,Louis,B,male ,Alma,DELHI,9000716561,Marion@ashley.com,0,B.Sc.,83,593,708,ATMA,407,74,ANALYTICS,37,4,5/31/1991,25186 Main Hwy
131251,Addison,C,female,Brielle,TAMILNADU,9000716562,Gunnar.Hegmann@una.org,2,B.P.T.,62,517,736,MAT,520,85,MARKETING,84,3,1/19/1989,19 Maple St
131253,Solomon,D,male,Melinda,KERALA,9000716563,Rashawn.Welch@marcia.com,0,B.Tech.,88,490,727,CAT,410,98,HR,18,3,1/15/1991,5776 N State Hwy 19
131301,Beck,E,male ,Petra,ASSAM,9000716564,Maximo@domenica.me,1,B.Tech.,90,536,963,ATMA,447,74,FINNCE,11,3,9/2/1991,88 E Wise St
131304,Kirk,F,female,Shelly,JAIPUR,9000716565,Idella@christopher.io,4,B.Sc.,70,412,710,MAT,445,74,OPERATIONS,80,5,6/19/1989,1547 Sealy Ave
131309,Yoshio,G,male,Kylynn,ANDHRA,9000716566,Marquis@willie.net,0,B.Pharm,78,500,963,CAT,446,95,ANALYTICS,27,5,5/25/1991,22 State Loop 14
131311,Asher,H,male ,Zia,TELANGANA,9000716567,Tom@reynold.io,5,B.Sc.,63,390,708,ATMA,600,85,MARKETING,78,5,3/29/1990,59 Savannah Ave
131312,Chaim,I,female,Lee,UP,9000716568,Travis_Sawayn@idell.tv,2,B.Com,52,442,861,MAT,538,74,HR,28,5,1/9/1991,7409 State Hwy 224
131313,Tanek,J,male,Patience,GUJARAT,9000716569,Dominique_Bergnaum@margarete.me,0,B.B.M.,65,435,704,CAT,577,83,FINNCE,74,3,5/17/1989,4734 Gaston Ave
131314,Cairo,K,male ,Dakota,ORISA,9000716570,Hailee.Shanahan@sylvan.com,4,B.Com,63,466,892,ATMA,482,65,OPERATIONS,76,5,7/9/1991,79521 Ave J
131318,Garrett,L,female,Lisandra,BANGLORE,9000716571,Nikita_Koepp@arch.tv,3,B.Tech,52,592,986,MAT,415,91,ANALYTICS,60,4,6/5/1989,63486 I- 20J Bus
131321,Kato,M,male,Shay,BIHAR,9000716572,Caterina@madelynn.io,3,B.tech.,52,337,950,CAT,509,64,MARKETING,44,3,1/13/1991,79 S Georgia St
131322,Kato,N,male ,Sigourney,DELHI,9000716573,Bettie@christophe.biz,4,B.B.A.,81,367,769,ATMA,472,86,HR,29,4,9/28/1990,700 E Northwest Hwy
131323,Armando,O,female,Zenia,TAMILNADU,9000716574,Dayna.Franecki@craig.com,2,B.Com,75,543,864,MAT,484,83,FINNCE,84,5,4/19/1989,669 S Church
131326,Sylvester,P,male,Galena,KERALA,9000716575,Rubie@antonette.name,4,B.Com,89,411,998,CAT,558,73,OPERATIONS,19,5,2/4/1991,624 Roland Ave
131327,Rajah,Q,male ,Margaret,ASSAM,9000716576,Cora@chris.ca,2,B.Tech.,84,547,802,ATMA,434,75,ANALYTICS,23,4,11/5/1990,22705 W 3rd St
131328,Gray,R,female,Nerea,JAIPUR,9000716577,Ted_Schaden@brayan.me,3,B.Com,55,357,740,MAT,480,61,MARKETING,48,3,6/7/1991,423 S Berry St
131330,Dexter,S,male,Tanya,ANDHRA,9000716578,Robb@brenden.biz,2,B.Com,74,454,735,CAT,441,81,HR,19,3,3/21/1991,43 FM 196
131332,Samuel,T,male ,Kendall,TELANGANA,9000716579,Delmer@helen.net,5,B.Tech.,55,413,811,ATMA,511,70,FINNCE,20,5,7/2/1990,47175 W Loop 543
131333,Josiah,U,female,Rose,UP,9000716580,Roy_Grimes@holden.co.uk,5,B.Sc.,74,369,808,MAT,475,71,OPERATIONS,30,4,4/16/1989,33 W Loop Rd
131334,Colin,V,male,Erin,GUJARAT,9000716581,Tressa.Gaylord@deonte.net,3,B.Tech,59,422,989,CAT,505,88,ANALYTICS,30,5,1/15/1990,92 Jefferson Davis Hwy
131335,Colorado,W,male ,Violet,ORISA,9000716582,Ahmed.Wintheiser@mertie.tv,3,B.Com,70,389,758,ATMA,436,66,MARKETING,52,4,4/12/1991,60447 E Hwy 85
131336,Burton,X,female,Halee,BANGLORE,9000716583,Logan@damian.org,4,B.Com,80,399,775,MAT,427,76,HR,25,4,5/30/1990,2781 N May St
131337,Barry,Y,male,Grace,BIHAR,9000716584,Fannie.Bahringer@raheem.biz,4,B.Com,87,566,734,CAT,586,88,FINNCE,54,4,11/5/1991,645 I- 610
131338,Salvador,Z,male ,Cecilia,DELHI,9000716585,Newell.Mitchell@jarvis.tv,0,B.Tech.,76,486,998,ATMA,436,83,OPERATIONS,23,5,8/6/1989,702 W Sinton St
131340,Randall,A,female,Blythe,TAMILNADU,9000716586,Elizabeth.Jerde@jayce.com,3,B.E.,78,426,725,MAT,524,91,ANALYTICS,44,4,12/25/1990,9846 Hwy Blvd
131341,Rogan,B,male,Charde,KERALA,9000716587,Michelle@delia.co.uk,2,B.B.A.,51,578,834,CAT,468,62,MARKETING,67,4,1/28/1991,85643 State Hwy 21
131342,Ashton,C,male ,Hayfa,ASSAM,9000716588,Stephanie@lauriane.tv,4,B.Tech.,54,315,937,ATMA,464,81,HR,58,4,3/15/1990,41848 State Loop 133
131343,Driscoll,D,female,Imani,JAIPUR,9000716589,Aurore_Steuber@armand.me,5,B.Tech.,84,397,824,MAT,531,80,FINNCE,70,3,6/13/1991,8456 N Hill St
131344,Roth,E,male,Cassady,ANDHRA,9000716590,Catharine.Beer@raquel.info,0,B.Sc.,58,356,931,CAT,548,96,OPERATIONS,98,4,5/10/1990,6588 S Bickley Ave
131345,Guy,F,male ,Kerry,TELANGANA,9000716591,Jamaal_Legros@arianna.tv,2,B.B.M.,75,399,882,ATMA,521,73,ANALYTICS,17,3,4/6/1989,47890 Broadway Rear St
131346,Ronan,G,female,Brynne,UP,9000716592,Keyon_Wuckert@lemuel.net,1,B.Com,54,406,849,MAT,421,98,MARKETING,88,4,12/26/1990,7006 Shenandoah Park Dr
131348,Matthew,H,male,Kelsey,GUJARAT,9000716593,Mireya@lindsay.me,5,B.E.,77,450,710,CAT,476,69,HR,48,4,8/26/1989,33648 N 4th St
131350,Vladimir,I,male ,Tara,ORISA,9000716594,Reuben.Zemlak@annetta.co.uk,4,B.Com,87,328,830,ATMA,450,91,FINNCE,47,3,10/11/1989,62 US Hwy 67
131352,Barry,J,female,Lynn,BANGLORE,9000716595,Arlo@dillon.io,1,B.B.M.,70,327,839,MAT,450,87,OPERATIONS,93,5,12/28/1989,244 W Wilson St
131353,Cullen,K,male,Alana,BIHAR,9000716596,Daisha@mohammed.me,0,B.Tech.,57,360,853,CAT,462,97,ANALYTICS,83,3,7/29/1990,41 W State Hwy 85
131402,Uriah,L,male ,Sonia,DELHI,9000716597,Daniela.Crooks@malcolm.name,1,B.Tech.,75,512,757,ATMA,482,75,MARKETING,35,5,9/24/1989,498 N Beckley St
131404,Quinn,M,female,Tanya,TAMILNADU,9000716598,Nicole.Ledner@owen.co.uk,1,B.Com,85,585,817,MAT,594,71,HR,59,5,7/11/1990,81404 Hempstead Hwy
131405,Keefe,N,male,Idona,KERALA,9000716599,Ashleigh@andreane.co.uk,4,B.Pharm,66,430,723,CAT,410,89,FINNCE,19,3,1/13/1990,7531 Dustin
131406,Alec,O,male ,Deirdre,ASSAM,9000716600,Thomas.Flatley@abby.info,4,B.Tech.,78,500,892,ATMA,543,74,OPERATIONS,91,3,9/4/1989,1920 N Akard St
131407,Cadman,P,female,Naomi,JAIPUR,9000716601,Noel_Rath@brendon.name,3,B.B.A.,83,508,919,MAT,526,87,ANALYTICS,75,4,11/29/1991,27 Ave C
131408,Ishmael,Q,male,Deirdre,ANDHRA,9000716602,Rhea.Cummings@karianne.biz,4,B.Sc.,52,428,760,CAT,482,79,MARKETING,29,3,10/23/1991,38 Ranch Rd 1731
131409,Kennan,R,male ,Regina,TELANGANA,9000716603,Brandy.Daniel@pete.name,3,B.Com,79,327,700,ATMA,579,67,HR,86,5,10/18/1990,83 NW 1st St
131410,Jacob,S,female,Nomlanga,UP,9000716604,Buford_Eichmann@ebba.tv,5,B.Pharm,84,326,819,MAT,464,90,FINNCE,74,3,11/25/1991,904 Paseo Encinals Dr N
131411,Francis,T,male,Zelda,GUJARAT,9000716605,Grover@lurline.info,2,B.Tech,70,444,848,CAT,479,82,OPERATIONS,17,4,3/5/1989,97 Ellis St
131413,Chaim,U,male ,Ursa,ORISA,9000716606,Korey@eli.com,5,B.Tech.,58,407,942,ATMA,540,62,ANALYTICS,83,5,9/17/1990,93 E Ave E
131415,Emerson,V,female,Kiayada,BANGLORE,9000716607,Juston@deonte.io,1,B.Tech,56,585,800,MAT,563,97,MARKETING,68,3,9/18/1991,92980 S John Redditt Dr
131417,Brett,W,male,Nicole,BIHAR,9000716608,Barry_Hilll@kristofer.us,4,B.E.,63,383,747,CAT,545,76,HR,94,4,9/8/1990,76 E 14th St
131418,Quamar,X,male ,Xaviera,DELHI,9000716609,Idella@tyrel.us,5,BE,55,591,742,ATMA,507,91,FINNCE,72,5,4/2/1989,672 Puros Neqocios
131419,Uriel,Y,female,Zelenia,TAMILNADU,9000716610,Emmalee@clint.info,3,B.Tech,73,356,700,MAT,460,63,OPERATIONS,88,4,9/29/1990,4550 US Hwy 83 S
131421,Keaton,Z,male,Phoebe,KERALA,9000716611,Pearline@foster.io,1,B.Com,53,357,700,CAT,507,93,ANALYTICS,68,5,9/21/1991,54051 SW H K Dodgen Lp
131422,Myles,A,male ,Shay,ASSAM,9000716612,Brice.Schneider@van.me,2,B.E.,71,488,839,ATMA,585,89,MARKETING,40,3,7/22/1991,83 FM 2123
131423,Jasper,B,female,Shaeleigh,JAIPUR,9000716613,Faustino_Flatley@louvenia.net,3,B.E.,58,598,862,MAT,510,67,HR,52,5,8/14/1990,14 State Hwy 350
131425,Isaiah,C,male,Idona,ANDHRA,9000716614,Kiera@arlo.biz,5,B.Tech,67,451,862,CAT,586,75,FINNCE,86,4,2/21/1989,53 N San Patricio Ave
131426,Grady,D,male ,Neve,TELANGANA,9000716615,Kaycee_Rogahn@clemens.us,3,BMS,71,549,988,ATMA,428,60,OPERATIONS,80,3,5/18/1991,6209 N State Hwy 288
131427,Chase,E,female,Ciara,UP,9000716616,Grayce@cordie.net,1,B.Com,72,535,900,MAT,415,64,ANALYTICS,68,5,3/9/1989,26 E Jackson St
131428,Chaim,F,male,Laurel,GUJARAT,9000716617,Ocie@theo.ca,4,B.Com,79,404,923,CAT,489,95,MARKETING,60,5,1/18/1989,726 Hwy 1765
131429,Ali,G,male ,Ignacia,ORISA,9000716618,Jadon@jasper.net,0,B.Com,89,423,772,ATMA,481,78,HR,37,4,3/1/1989,693 W Hwy 71
131432,Anthony,H,female,Aphrodite,BANGLORE,9000716619,Harley.Steuber@marta.tv,4,B.Tech,79,398,999,MAT,414,66,FINNCE,43,3,3/17/1991,545 Floydada Ave
131433,Dean,I,male,Gay,BIHAR,9000716620,Marcelle.Bahringer@adelia.biz,0,BE,55,312,773,CAT,437,68,OPERATIONS,85,5,10/28/1990,7322 Creek Road 430
131435,Malik,J,male ,Ruth,DELHI,9000716621,Melyna@gideon.co.uk,5,B.Sc.,55,465,793,ATMA,563,79,ANALYTICS,99,4,7/18/1989,3705 S Georgia
131437,Quentin,K,female,Indira,TAMILNADU,9000716622,Tatum.Bartell@ivy.tv,0,B.Tech,59,389,988,MAT,552,89,MARKETING,16,4,7/9/1989,8713 N State Hwy 5
131438,Ahmed,L,male,Rinah,KERALA,9000716623,Kylie_Murphy@greyson.name,5,B.Com,72,505,763,CAT,508,68,HR,80,5,1/2/1991,14 Summit Ave
131441,Benedict,M,male ,Eve,ASSAM,9000716624,Ransom@litzy.com,4,BBA,52,514,720,ATMA,569,61,FINNCE,47,3,2/4/1990,872 Redwater Blvd E
131443,Norman,N,female,Nicole,JAIPUR,9000716625,Paul_West@thad.ca,0,B.Tech(cosmetic),55,510,920,MAT,421,66,OPERATIONS,65,4,1/25/1990,43 S Loop 281
131445,Damon,O,male,Freya,ANDHRA,9000716626,Elnora@schuyler.com,5,,72,434,749,CAT,516,64,ANALYTICS,85,3,9/8/1990,587 State Spur 241
131447,Edward,P,male ,Cara,TELANGANA,9000716627,Fletcher_Hamill@savanna.org,5,B.com,75,525,856,ATMA,509,62,MARKETING,95,5,8/9/1989,17 N Cockrell St
131448,Cyrus,Q,female,Rana,UP,9000716628,Aubrey@lyla.us,4,B.Com,81,371,868,MAT,570,69,HR,46,4,6/29/1991,32 S Brazosport Blvd
131449,Cameron,R,male,Anika,GUJARAT,9000716629,Addison@robbie.biz,2,B.Com,85,426,878,CAT,572,60,FINNCE,24,3,5/1/1991,36 S Austin Ave
131451,Garrett,S,male ,Avye,ORISA,9000716630,Keagan.Upton@katarina.org,2,B.Tech,83,408,856,ATMA,480,75,OPERATIONS,92,4,10/15/1989,239 Franklin Ave
131452,Jackson,T,female,Robin,BANGLORE,9000716631,Rosalee@nedra.net,3,B.Tech,59,389,911,MAT,465,88,ANALYTICS,61,4,7/13/1990,15 State Hwy 46C Bus
